match_id,date,team1,team2,team1_sets,team2_sets,winner
2025-11-12_80aPt1Vn_YgncOTwn,2025-11-12,neftjanik-orenburg-80aPt1Vn,ufa-YgncOTwn,3,0,neftjanik-orenburg-80aPt1Vn
2025-11-12_tOoNOmgh_f3mgP9Ou,2025-11-12,novosibirsk-tOoNOmgh,belgorod-f3mgP9Ou,3,0,novosibirsk-tOoNOmgh
2025-11-12_AcdnrwnO_p84AgERs,2025-11-12,guaguas-las-palmas-AcdnrwnO,olympiakos-p84AgERs,3,0,guaguas-las-palmas-AcdnrwnO
2025-11-12_2kggPBWE_pAof6Hml,2025-11-12,slepsk-suwalki-2kggPBWE,olsztyn-pAof6Hml,0,3,olsztyn-pAof6Hml
2025-11-12_WhuLLKZT_Kv7iGxys,2025-11-12,zawiercie-WhuLLKZT,lublin-Kv7iGxys,3,2,zawiercie-WhuLLKZT
2025-11-12_K85RJEn0_2wzWMRN4,2025-11-12,novyi-urengoy-K85RJEn0,yaroslavl-2wzWMRN4,3,0,novyi-urengoy-K85RJEn0
2025-11-13_QHGgYVPI_O6ac1n9H,2025-11-13,ach-volley-ljubljana-QHGgYVPI,dinamo-bucuresti-O6ac1n9H,3,1,ach-volley-ljubljana-QHGgYVPI
2025-11-13_IaHhI75c_jTKINSpR,2025-11-13,tokyo-great-bears-IaHhI75c,nagoya-jTKINSpR,0,3,nagoya-jTKINSpR
2025-11-13_6qbfvecr_fq1HkrTS,2025-11-13,toulouse-6qbfvecr,montpellier-fq1HkrTS,2,3,montpellier-fq1HkrTS
2025-11-13_EJS1lfOD_KCDVlA71,2025-11-13,safety-perugia-EJS1lfOD,cuneo-volley-KCDVlA71,3,0,safety-perugia-EJS1lfOD
2025-11-13_p4s7hUbp_xdHW77yF,2025-11-13,tsv-giesen-grizzlys-p4s7hUbp,mav-elore-sc-xdHW77yF,3,2,tsv-giesen-grizzlys-p4s7hUbp
2025-11-13_xfxfdEus_jgKi0Llj,2025-11-13,sao-jose-dos-campos-xfxfdEus,monte-carmelo-jgKi0Llj,2,3,monte-carmelo-jgKi0Llj
